phase,N,task_id,arm,trial,pass,input_tokens,cache_creation,cache_read,output_tokens,total_cost_usd,num_turns,duration_ms,is_error,subtype
"crossover","320","000","B2","1","1",8,36984,206617,455,0.29073809999999994,4,12068,0,"success"
"crossover","320","000","B3","1","1",18,27183,411291,2275,0.41603969999999996,9,68432,0,"success"
"crossover","320","000","C","1","1",6,23684,119648,296,0.18245640000000002,3,7032,0,"success"
"crossover","320","000","B1","2","1",2,0,261348,109,0.0800454,1,3655,0,"success"
"crossover","320","000","B2","2","1",8,2906,242497,591,0.0990741,4,11724,0,"success"
"crossover","320","000","B3","2","1",30,20875,810503,4085,0.44295150000000005,17,62404,0,"success"
"crossover","320","000","A","2","0",8,3749,186263,1397,0.09935189999999999,7,19709,0,"success"
"crossover","320","000","C","2","1",6,3470,142220,308,0.06812399999999999,3,7994,0,"success"
"crossover","320","000","B1","3","1",2,0,261348,56,0.0792504,1,4970,0,"success"
"crossover","320","000","B3","3","1",2,1519,48312,9,0.2806191,1,2809,0,"success"
"crossover","320","000","A","3","0",8,5953,192942,1357,0.1139796,4,23535,0,"success"
"crossover","320","000","C","3","1",6,2605,141355,273,0.062149499999999996,3,8603,0,"success"
"crossover","320","000","B2","3","1",4,999,120122,225,0.0454176,2,6089,0,"success"
"crossover","320","000","B2","4","0",0,0,0,0,0,2,178408,1,"error_during_execution"
"crossover","320","000","B1","4","1",2,0,261348,9,0.0785454,1,5320,0,"success"
"crossover","320","000","A","4","0",10,4908,234715,2072,0.1309725,5,28531,0,"success"
"crossover","320","000","B3","4","1",18,18690,542536,2359,0.50857455,10,38135,0,"success"
"crossover","320","000","C","4","1",6,2576,141310,247,0.061572,3,8011,0,"success"
"crossover","320","000","B1","5","1",2,0,261348,9,0.0785454,1,2829,0,"success"
"crossover","320","000","B2","5","1",10,2248,302020,577,0.11277899999999999,5,15296,0,"success"
"crossover","320","000","C","5","1",6,2246,140974,240,0.0593862,3,9349,0,"success"
"crossover","320","000","A","5","0",6,3903,138749,1205,0.0831357,5,16496,0,"success"
"crossover","320","000","B3","5","1",4,2501,106193,606,0.3824853,2,10049,0,"success"
"workload","80","000","C","1","1",6,2226,140951,222,0.0589893,3,14330,0,"success"
"workload","80","000","B3","1","1",2,772,57723,11,0.36973215,1,2158,0,"success"
"workload","80","000","B2","1","1",6,1070,145244,270,0.054061200000000004,3,9608,0,"success"
"workload","80","000","B2","2","1",8,1437,194058,570,0.0754134,5,17686,0,"success"
"workload","80","000","C","2","1",6,2643,141368,316,0.06302640000000001,3,9055,0,"success"
"workload","80","000","B3","2","1",2,1475,48862,11,0.25166130000000003,1,3018,0,"success"
"workload","80","000","B3","3","1",6,1865,149027,299,0.2684877,3,6589,0,"success"
"workload","80","000","B2","3","1",8,1259,193849,458,0.07260269999999999,4,10073,0,"success"
"workload","80","000","C","3","1",6,3066,141791,232,0.0644313,3,6648,0,"success"
"workload","80","004","B3","1","1",18,25345,408654,1617,0.2989752,9,29415,0,"success"
"workload","80","004","B2","1","1",8,23232,173370,343,0.19657200000000002,4,9164,0,"success"
"workload","80","004","C","1","1",8,30948,178539,408,0.24539369999999996,4,9715,0,"success"
"workload","80","004","B3","2","1",4,2241,100956,172,0.30572115,2,5951,0,"success"
"workload","80","004","C","2","1",6,2278,141010,270,0.060038999999999995,3,8211,0,"success"
"workload","80","004","B2","2","1",8,3735,196338,567,0.08984039999999999,4,10773,0,"success"
"workload","80","004","B3","3","1",2,1196,48847,9,0.2696112,1,2015,0,"success"
"workload","80","004","B2","3","1",8,1241,193817,437,0.0721701,4,9968,0,"success"
"workload","80","004","C","3","1",6,2234,140964,225,0.0590862,3,6775,0,"success"
"workload","80","008","B2","1","1",10,30627,237435,564,0.26348249999999995,5,14707,0,"success"
"workload","80","008","C","1","1",8,26460,174026,465,0.2179668,4,11510,0,"success"
"workload","80","008","B3","1","1",2,886,47772,10,0.35642025,1,2278,0,"success"
"workload","80","008","B3","2","1",2,962,48508,8,0.22578405000000004,1,2002,0,"success"
"workload","80","008","C","2","1",8,5126,191606,392,0.0941418,4,10253,0,"success"
"workload","80","008","B2","2","1",10,2929,244967,563,0.09953909999999999,5,13810,0,"success"
"workload","80","008","B2","3","1",4,1007,96704,240,0.0386652,2,12667,0,"success"
"workload","80","008","B3","3","1",2,668,54087,10,0.22774304999999997,1,1878,0,"success"
"workload","80","008","C","3","1",8,5129,191700,393,0.09420300000000001,4,9626,0,"success"
"workload","80","012","B2","1","1",8,23459,173512,548,0.2010516,4,12744,0,"success"
"workload","80","012","B3","1","1",2,884,69749,8,0.5217635999999999,1,1925,0,"success"
"workload","80","012","C","1","1",8,24618,172267,409,0.20554709999999998,4,10952,0,"success"
"workload","80","012","B3","2","1",2,1099,59947,8,0.35872980000000004,1,2724,0,"success"
"workload","80","012","C","2","1",6,2280,140996,258,0.0598668,3,8552,0,"success"
"workload","80","012","B2","2","1",8,1280,193877,461,0.07278209999999999,4,16122,0,"success"
"workload","80","012","C","3","1",6,2265,140981,243,0.0595473,3,9120,0,"success"
"workload","80","012","B3","3","1",12,4850,336723,1113,0.57102825,6,24466,0,"success"
"workload","80","012","B2","3","1",4,1054,96716,263,0.03929579999999999,2,6566,0,"success"
"workload","80","016","B2","1","1",8,22422,172575,373,0.19192349999999997,4,18281,0,"success"
"workload","80","016","C","1","1",6,26557,121569,412,0.2020107,4,11256,0,"success"
"workload","80","016","B3","1","1",2,701,62116,10,0.4532964,1,2518,0,"success"
"workload","80","016","B2","2","1",8,2106,194654,439,0.0776412,4,14888,0,"success"
"workload","80","016","C","2","1",2430,8540,193496,441,0.1231938,5,16462,0,"success"
"workload","80","016","B3","2","1",16,8476,378134,1457,0.18619919999999998,8,31703,0,"success"
"workload","80","016","B2","3","1",8,10645,203237,462,0.1317951,4,24225,0,"success"
"workload","80","016","B3","3","1",2,1141,47697,8,0.26144505,1,2164,0,"success"
"workload","80","016","C","3","1",6,2269,140981,251,0.059691299999999996,3,7466,0,"success"
"workload","80","020","B3","1","1",2,1215,49246,12,0.38657249999999993,1,1897,0,"success"
"workload","80","020","B2","1","1",8,23362,173463,467,0.19923989999999997,4,11075,0,"success"
"workload","80","020","C","1","1",6,22857,122695,242,0.17759850000000002,3,6745,0,"success"
"workload","80","020","B3","2","1",2,977,57866,10,0.3055218,1,2347,0,"success"
"workload","80","020","C","2","1",6,2212,140950,202,0.058605,3,7710,0,"success"
"workload","80","020","B2","2","1",12,3272,295003,882,0.1213989,6,16813,0,"success"
"workload","80","020","C","3","1",6,2551,141289,215,0.060935699999999995,3,6403,0,"success"
"workload","80","020","B2","3","1",12,3629,294202,1028,0.12549059999999998,7,20191,0,"success"
"workload","80","020","B3","3","1",28,27647,755750,3310,0.4752241499999999,14,68263,0,"success"
"workload","80","024","C","1","1",8,24544,172162,371,0.2045016,4,9879,0,"success"
"workload","80","024","B2","1","1",8,23498,173513,601,0.20208089999999998,4,14047,0,"success"
"workload","80","024","B3","1","1",2,1036,49161,8,0.35883465000000003,1,2125,0,"success"
"workload","80","024","B2","2","1",8,2052,194704,389,0.07658219999999999,4,10290,0,"success"
"workload","80","024","B3","2","1",4,2097,117549,142,0.321594,2,4176,0,"success"
"workload","80","024","C","2","1",8,7252,194136,525,0.1096518,4,13487,0,"success"
"workload","80","024","C","3","1",8,5943,193302,388,0.0994926,4,14571,0,"success"
"workload","80","024","B2","3","1",8,1995,194566,330,0.0753138,4,9238,0,"success"
"workload","80","024","B3","3","1",24,18732,647296,2735,0.36241889999999993,12,50613,0,"success"
"workload","80","028","C","1","1",6,22077,121898,287,0.1733544,3,7264,0,"success"
"workload","80","028","B3","1","1",20,29034,473826,2430,0.39837225,11,69787,0,"success"
"workload","80","028","B2","1","1",12,23730,273221,788,0.2362023,6,23464,0,"success"
"workload","80","028","C","2","1",6,2299,141012,284,0.0603756,3,6620,0,"success"
"workload","80","028","B2","2","1",16,3863,396971,1425,0.16369229999999999,8,26799,0,"success"
"workload","80","028","B3","2","1",2,840,47287,10,0.1535166,1,1949,0,"success"
"workload","80","028","B2","3","1",10,2441,244470,763,0.099462,5,15873,0,"success"
"workload","80","028","B3","3","1",2,848,52492,8,0.5255785499999999,1,2529,0,"success"
"workload","80","028","C","3","1",6,3507,142242,338,0.06880259999999999,3,14531,0,"success"
"workload","80","032","C","1","1",46,24655,172194,424,0.20608620000000002,5,12540,0,"success"
"workload","80","032","B3","1","1",2,1012,58759,9,0.42747270000000004,1,2196,0,"success"
"workload","80","032","B2","1","1",10,23538,222345,623,0.21730649999999996,5,13166,0,"success"
"workload","80","032","B3","2","1",2,1103,48249,9,0.23422155,1,3130,0,"success"
"workload","80","032","B2","2","1",10,1424,242727,586,0.09018209999999999,5,13732,0,"success"
"workload","80","032","C","2","1",8,5111,191651,366,0.09367529999999999,4,10905,0,"success"
"workload","80","032","B3","3","1",16,23465,433711,1296,0.34297560000000005,8,38693,0,"success"
"workload","80","032","B2","3","1",8,2080,194718,415,0.0771444,4,10405,0,"success"
"workload","80","032","C","3","1",8,5148,191745,405,0.0945105,4,11362,0,"success"
"workload","80","036","B2","1","1",8,23545,173529,657,0.2032077,4,12502,0,"success"
"workload","80","036","C","1","1",6,22610,122463,333,0.17741189999999998,3,8208,0,"success"
"workload","80","036","B3","1","1",18,21919,400327,1917,0.34865864999999996,9,63398,0,"success"
"workload","80","036","B3","2","1",16,3998,375068,1572,0.16013639999999998,8,27692,0,"success"
"workload","80","036","B2","2","1",8,2093,194690,443,0.077634,4,12264,0,"success"
"workload","80","036","C","2","1",6,2245,140974,247,0.059485199999999995,3,8160,0,"success"
"workload","80","036","B2","3","1",8,2071,194596,416,0.07706879999999999,4,11405,0,"success"
"workload","80","036","B3","3","1",22,15845,613587,4158,0.5033472000000001,11,61919,0,"success"
"workload","80","036","C","3","1",6,2275,141004,277,0.0601242,3,6589,0,"success"
"workload","80","040","B3","1","1",2,986,48295,10,0.33421215,1,2130,0,"success"
"workload","80","040","B2","1","1",4,22206,75475,178,0.15856049999999997,2,4748,0,"success"
"workload","80","040","C","1","1",6,21720,121523,242,0.17042490000000002,3,11376,0,"success"
"workload","80","040","B3","2","1",2,1071,49002,12,0.24446145,1,2136,0,"success"
"workload","80","040","B2","2","1",10,2204,243419,516,0.0940197,5,13949,0,"success"
"workload","80","040","C","2","1",6,3453,142180,273,0.06748499999999999,3,6340,0,"success"
"workload","80","040","C","3","1",6,2276,140983,251,0.05973389999999999,3,6107,0,"success"
"workload","80","040","B3","3","1",2,756,48744,12,0.22341375000000002,1,2024,0,"success"
"workload","80","040","B2","3","1",8,1292,193943,473,0.0730539,4,9676,0,"success"
"workload","80","044","C","1","1",6,22605,122424,322,0.1772052,3,7198,0,"success"
"workload","80","044","B3","1","1",2,877,56054,9,0.39692595,1,1919,0,"success"
"workload","80","044","B2","1","1",8,23343,173456,452,0.1988988,4,10522,0,"success"
"workload","80","044","B3","2","1",2,1047,48838,9,0.2145567,1,1977,0,"success"
"workload","80","044","C","2","1",6,2280,140993,274,0.060105900000000004,3,10312,0,"success"
"workload","80","044","B2","2","1",4,955,96702,178,0.0374226,2,7427,0,"success"
"workload","80","044","B2","3","1",10,1301,242583,470,0.0876609,5,18339,0,"success"
"workload","80","044","C","3","1",6,2281,140994,275,0.0601272,3,11489,0,"success"
"workload","80","044","B3","3","1",14,13571,426710,1792,0.48245774999999985,7,25102,0,"success"
"workload","80","048","B3","1","1",18,24066,413528,1699,0.29399339999999996,9,30584,0,"success"
"workload","80","048","C","1","1",6,21683,121510,215,0.16979399999999997,3,7082,0,"success"
"workload","80","048","B2","1","1",10,23564,222244,644,0.2177472,5,13447,0,"success"
"workload","80","048","B2","2","1",10,2906,245719,554,0.0994917,5,12834,0,"success"
"workload","80","048","B3","2","1",2,1362,49489,9,0.2804874,1,1933,0,"success"
"workload","80","048","C","2","1",6,2591,141318,245,0.0616344,3,7456,0,"success"
"workload","80","048","C","3","1",6,2223,140950,203,0.058686,3,5873,0,"success"
"workload","80","048","B2","3","1",10,2277,243372,594,0.09561359999999999,5,23661,0,"success"
"workload","80","048","B3","3","1",2,1320,60685,9,0.5190190499999999,1,4791,0,"success"
"workload","80","052","B3","1","1",14,11532,419076,1642,0.5743271999999998,7,26916,0,"success"
"workload","80","052","C","1","1",6,23046,121961,347,0.18008729999999998,3,7314,0,"success"
"workload","80","052","B2","1","1",4,22215,75477,183,0.15869009999999997,2,5193,0,"success"
"workload","80","052","B3","2","1",4,1751,97845,160,0.25528755,2,4433,0,"success"
"workload","80","052","C","2","1",6,24609,119682,291,0.18794160000000001,3,6405,0,"success"
"workload","80","052","B2","2","1",8,25337,171651,477,0.21069630000000003,4,11107,0,"success"
"workload","80","052","C","3","1",6,3177,141048,258,0.0652644,3,7491,0,"success"
"workload","80","052","B2","3","1",4,968,96748,175,0.0374694,2,4945,0,"success"
"workload","80","052","B3","3","1",2,1193,61897,6,0.46082909999999994,1,2017,0,"success"
"workload","80","056","B3","1","1",14,13697,395860,1296,0.57520485,7,23784,0,"success"
"workload","80","056","B2","1","1",6,22322,124003,313,0.1758459,3,8109,0,"success"
"workload","80","056","C","1","1",6,21717,121619,277,0.1709607,3,8511,0,"success"
"workload","80","056","C","2","1",6,3494,142239,346,0.0688437,3,8131,0,"success"
"workload","80","056","B2","2","1",10,1296,242655,482,0.08783250000000001,5,10933,0,"success"
"workload","80","056","B3","2","1",14,12741,380526,1719,0.37962975,7,31237,0,"success"
"workload","80","056","C","3","1",6,2590,141388,272,0.062054399999999996,3,8428,0,"success"
"workload","80","056","B3","3","1",2,713,50216,11,0.26032890000000003,1,1813,0,"success"
"workload","80","056","B2","3","1",8,2103,194690,456,0.077889,4,12343,0,"success"
"workload","80","060","C","1","1",6,22925,122791,314,0.1791153,3,11118,0,"success"
"workload","80","060","B3","1","1",16,25301,361399,1544,0.3882837,8,93371,0,"success"
"workload","80","060","B2","1","1",8,24038,174216,485,0.2037918,4,12633,0,"success"
"workload","80","060","B3","2","1",18,9959,443680,2135,0.2922906,9,66391,0,"success"
"workload","80","060","C","2","1",6,2626,141412,292,0.0625776,3,8020,0,"success"
"workload","80","060","B2","2","1",10,2424,244392,683,0.09813659999999999,6,23316,0,"success"
"workload","80","060","B3","3","1",2,1378,49454,10,0.25971195,1,2495,0,"success"
"workload","80","060","B2","3","1",10,1464,242927,634,0.09120210000000001,5,13364,0,"success"
"workload","80","060","C","3","1",6,2236,141022,228,0.059160599999999994,3,6616,0,"success"
"workload","80","064","C","1","1",6,21739,121611,268,0.1709553,3,6829,0,"success"
"workload","80","064","B3","1","1",2,1203,47183,11,0.3146721,1,2097,0,"success"
"workload","80","064","B2","1","1",8,24795,174977,377,0.20694209999999996,4,10548,0,"success"
"workload","80","064","B2","2","1",4,964,96738,175,0.0374424,2,4737,0,"success"
"workload","80","064","C","2","1",6,2257,141027,233,0.0593631,3,6704,0,"success"
"workload","80","064","B3","2","1",2,1021,49002,11,0.21476130000000004,1,2321,0,"success"
"workload","80","064","C","3","1",6,2262,141032,238,0.0594696,3,6383,0,"success"
"workload","80","064","B2","3","1",4,963,96738,174,0.037421399999999994,2,5866,0,"success"
"workload","80","064","B3","3","1",2,681,49270,11,0.196446,1,2337,0,"success"
"workload","80","068","B2","1","1",6,22251,123997,212,0.17390309999999998,3,6710,0,"success"
"workload","80","068","C","1","1",6,21697,121582,238,0.1702446,3,6700,0,"success"
"workload","80","068","B3","1","1",2,619,47134,9,0.26093025000000003,1,1881,0,"success"
"workload","80","068","B3","2","1",24,18650,592306,2412,0.3258438,12,42786,0,"success"
"workload","80","068","B2","2","1",8,2682,195302,362,0.0801366,4,8954,0,"success"
"workload","80","068","C","2","1",6,2640,141402,303,0.06282360000000001,3,7125,0,"success"
"workload","80","068","B3","3","1",2,1233,47306,11,0.2082504,1,2550,0,"success"
"workload","80","068","B2","3","1",10,2244,244595,557,0.0952275,5,13286,0,"success"
"workload","80","068","C","3","1",6,3457,142240,291,0.067797,3,8994,0,"success"
"workload","80","072","C","1","1",6,23551,121590,244,0.18146099999999998,3,6615,0,"success"
"workload","80","072","B3","1","1",20,32058,479318,1919,0.3649884,10,36744,0,"success"
"workload","80","072","B2","1","1",8,22531,172830,396,0.19299899999999998,4,8817,0,"success"
"workload","80","072","B2","2","1",4,981,96740,216,0.03816,2,5992,0,"success"
"workload","80","072","B3","2","1",2,895,49076,10,0.27326295,1,1930,0,"success"
"workload","80","072","C","2","1",6,5337,142276,324,0.0795828,3,11120,0,"success"
"workload","80","072","B2","3","1",12,2594,294760,874,0.11713799999999999,6,20841,0,"success"
"workload","80","072","B3","3","1",2,1419,47152,8,0.26473965,1,3107,0,"success"
"workload","80","072","C","3","1",6,5099,141030,314,0.077631,4,7113,0,"success"
"workload","80","076","B3","1","1",2,946,52424,8,0.35370645,1,2832,0,"success"
"workload","80","076","C","1","1",6,21742,121581,251,0.1707093,3,6955,0,"success"
"workload","80","076","B2","1","1",8,23483,173545,562,0.2014155,4,13402,0,"success"
"workload","80","076","B2","2","1",8,2091,194753,405,0.0770709,4,9883,0,"success"
"workload","80","076","C","2","1",6,2269,141036,229,0.059377799999999994,3,5716,0,"success"
"workload","80","076","B3","2","1",2,811,47120,8,0.17427674999999998,1,2284,0,"success"
"workload","80","076","B3","3","1",20,10150,502088,1784,0.2383464,10,30552,0,"success"
"workload","80","076","C","3","1",6,2314,141081,276,0.0603663,3,9257,0,"success"
"workload","80","076","B2","3","1",4,960,96746,157,0.0371508,2,5905,0,"success"
